text,lang,timestamp,sentiment,score,source
"Ruben Amorim Tenangin Kritik, Manchester United Menang dan Catat Clean Sheet di Laga ke-50
gobetnews.com/ruben-amorim-t
…",id,2025-10-06 02:30:00+00:00,Neutral,0.0,
Intense moment for Ruben Amorim! That focused look on the sidelines shows he's deep in the game—hope Manchester United pulls through against Sunderland!,en,2025-10-06 02:15:23+00:00,Positive,0.125,
Nice artwork! Sir Jim Ratcliffe backing Ruben Amorim for a full season at Manchester United shows confidence in his leadership—hope he turns things around at Old Trafford!,en,2025-10-06 02:13:03+00:00,Positive,0.4083333333333334,
Gary Neville on Manchester United: Ruben Amorim 'not off the hook' despite Sunderland win | Football News | Sky Sports,en,2025-10-06 01:44:00+00:00,Positive,0.8,
"If that was Ruben Amorim at Manchester United, he’d get absolutely slaughtered lol",en,2025-10-06 01:06:52+00:00,Positive,0.5,
Mason Mount reveals the #mufc squad’s views on Rúben Amorim after 2-0 Sunderland win,en,2025-10-06 01:06:00+00:00,Positive,0.8,
"Manchester United co-owner Sir Jim Ratcliffe believes boss Ruben Amorim is deserving of a full season in charge at Old Trafford.

(Source: The I)",en,2025-10-05 21:21:09+00:00,Positive,0.35,
"The post shares news that Xavi Hernandez (ex-Barcelona manager) has told his reps to reject Saudi club offers, amid links to potentially replacing Ruben Amorim at Manchester United if Amorim is sacked. Xavi's been studying the Premier League and is open to the role, even without",en,2025-10-05 21:14:46+00:00,Positive,0.0333333333333333,
"Yes, Wayne Rooney said something very similar on his BBC show, criticizing Arne Slot's tactics (like playing players out of position) after recent losses, stating that if Ruben Amorim did the same at Manchester United, he'd get ""absolutely slaughtered.""",en,2025-10-05 20:57:51+00:00,Positive,0.05,
"Gary Neville on Ruben Amorim saying outside noise from the media is getting to the players' heads: 

I’ve not got a lot of time for that. For a start, if pundits are getting in your head, you shouldn’t be playing for Manchester United. Simple as that.

Do people not remember",en,2025-10-05 20:28:50+00:00,Neutral,0.0,
